 mod L/Lsol Teff t (year) Reff/Rsol k2conv k2rad Mrad/Msol Rrad/Reff
   72   0.198932 3955.0  2.5216416E+07  0.9518  0.1183  0.0595  0.5104123  5.7856E-001
   73   0.195803 3992.0  2.8871583E+07  0.9266  0.1040  0.0662  0.5545397  6.1664E-001
   74   0.198704 4051.0  3.2643725E+07  0.9068  0.0896  0.0722  0.5950166  6.5160E-001
   75   0.207466 4131.0  3.6440392E+07  0.8908  0.0770  0.0762  0.6288288  6.8144E-001
   76   0.218201 4212.0  4.0147917E+07  0.8788  0.0661  0.0782  0.6563013  7.0495E-001
   77   0.234950 4318.0  4.3766657E+07  0.8679  0.0566  0.0792  0.6795472  7.2708E-001
   78   0.254781 4435.0  4.7258547E+07  0.8567  0.0486  0.0795  0.6985666  7.4880E-001
   79   0.274319 4546.0  5.0623462E+07  0.8458  0.0414  0.0796  0.7154727  7.7228E-001
   80   0.294336 4660.0  5.3885226E+07  0.8339  0.0359  0.0790  0.7298302  7.9837E-001
   81   0.311610 4763.0  5.7066920E+07  0.8213  0.0317  0.0780  0.7371446  8.1332E-001
   82   0.314298 4779.0  5.7476925E+07  0.8194  0.0309  0.0781  0.7406678  8.2289E-001
   83   0.321838 4824.0  5.8593162E+07  0.8138  0.0294  0.0780  0.7439633  8.3275E-001
   84   0.319745 4816.0  5.8626687E+07  0.8137  0.0294  0.0780  0.7439633  8.3277E-001
   85   0.322449 4827.0  5.8682003E+07  0.8134  0.0293  0.0779  0.7439633  8.3269E-001
   86   0.324916 4843.0  5.9092008E+07  0.8112  0.0293  0.0774  0.7439633  8.3281E-001
   87   0.328648 4901.0  6.2130963E+07  0.7968  0.0263  0.0776  0.7503131  8.5680E-001
   88   0.324095 4936.0  6.5036170E+07  0.7801  0.0244  0.0791  0.7533675  8.8058E-001
   89   0.301566 4915.0  6.9065675E+07  0.7588  0.0229  0.0824  0.7577079  9.2217E-001
   90   0.270470 4858.0  7.5714359E+07  0.7357  0.0231  0.0862  0.7577079  9.5830E-001
   91   0.258150 4826.0  7.9743864E+07  0.7281  0.0232  0.0873  0.7577079  9.7047E-001
   92   0.254471 4820.0  8.2185988E+07  0.7248  0.0232  0.0877  0.7577079  9.7587E-001
   93   0.251683 4815.0  8.6215494E+07  0.7224  0.0232  0.0879  0.7566228  9.7497E-001
   94   0.250865 4816.0  9.2864177E+07  0.7207  0.0228  0.0883  0.7571653  9.7935E-001
   95   0.250667 4816.0  9.4344253E+07  0.7204  0.0228  0.0883  0.7571653  9.7957E-001
   96   0.250552 4817.0  9.6786377E+07  0.7201  0.0228  0.0883  0.7568941  9.7868E-001
   97   0.250557 4817.0  9.8266452E+07  0.7200  0.0228  0.0883  0.7568941  9.7888E-001
   98   0.250489 4817.0  1.0070858E+08  0.7199  0.0228  0.0883  0.7568941  9.7901E-001
   99   0.250508 4818.0  1.0218865E+08  0.7198  0.0228  0.0883  0.7568941  9.7909E-001
  100   0.249897 4813.0  1.0463078E+08  0.7203  0.0226  0.0884  0.7571653  9.7923E-001
  101   0.250505 4817.0  1.0768343E+08  0.7199  0.0228  0.0883  0.7568941  9.7896E-001
  102   0.250046 4815.0  1.1149925E+08  0.7200  0.0228  0.0883  0.7568941  9.7896E-001
  103   0.249766 4813.0  1.1455191E+08  0.7202  0.0228  0.0884  0.7568941  9.7891E-001
  104   0.249518 4811.0  1.1699403E+08  0.7203  0.0228  0.0884  0.7568941  9.7884E-001
  105   0.249361 4809.0  1.2080985E+08  0.7206  0.0228  0.0885  0.7568941  9.7875E-001
  106   0.249275 4808.0  1.2386251E+08  0.7208  0.0228  0.0885  0.7565550  9.7721E-001
  107   0.249180 4807.0  1.2630463E+08  0.7210  0.0229  0.0884  0.7564872  9.7695E-001
  108   0.249103 4806.0  1.2935729E+08  0.7213  0.0229  0.0885  0.7564870  9.7674E-001
  109   0.248985 4803.0  1.3412706E+08  0.7219  0.0229  0.0884  0.7564869  9.7572E-001
  110   0.249287 4804.0  1.4008928E+08  0.7223  0.0230  0.0884  0.7562832  9.7472E-001
  111   0.249378 4803.0  1.4754205E+08  0.7227  0.0230  0.0884  0.7562151  9.7404E-001
  112   0.249477 4802.0  1.5685801E+08  0.7231  0.0231  0.0883  0.7560791  9.7306E-001
