 mod L/Lsol Teff t (year) Reff/Rsol k2conv k2rad Mrad/Msol Rrad/Reff
   69   4.541612 4429.4  1.2640500E+05  3.6509  1.94745690E-001 0.00000000E+000   0.000E+000  0.0000E+000
   70   4.524598 4428.0  1.2729900E+05  3.6466  1.94745690E-001 0.00000000E+000   0.000E+000  0.0000E+000
   71   4.507752 4426.8  1.2817900E+05  3.6423  1.94833960E-001 0.00000000E+000   0.000E+000  0.0000E+000
   72   4.491072 4425.5  1.2904300E+05  3.6380  1.94833960E-001 0.00000000E+000   0.000E+000  0.0000E+000
   73   4.474557 4424.3  1.2989400E+05  3.6322  1.94833960E-001 0.00000000E+000   0.000E+000  0.0000E+000
   74   4.458205 4422.9  1.3073000E+05  3.6279  1.94833960E-001 0.00000000E+000   0.000E+000  0.0000E+000
   75   4.442015 4421.7  1.3155300E+05  3.6236  1.94833960E-001 0.00000000E+000   0.000E+000  0.0000E+000
   76   4.425986 4420.5  1.3236200E+05  3.6193  1.94922250E-001 0.00000000E+000   0.000E+000  0.0000E+000
   77   4.410116 4419.2  1.3315800E+05  3.6150  1.94922250E-001 0.00000000E+000   0.000E+000  0.0000E+000
   78   4.394607 4418.0  1.3394100E+05  3.6107  1.94922250E-001 0.00000000E+000   0.000E+000  0.0000E+000
   79   4.379051 4416.8  1.3471200E+05  3.6064  1.94922250E-001 0.00000000E+000   0.000E+000  0.0000E+000
   80   4.363651 4415.6  1.3547100E+05  3.6021  1.94922250E-001 0.00000000E+000   0.000E+000  0.0000E+000
   81   4.348405 4414.4  1.3621800E+05  3.5978  1.94922250E-001 0.00000000E+000   0.000E+000  0.0000E+000
   82   4.333312 4413.2  1.3695300E+05  3.5934  1.95010560E-001 0.00000000E+000   0.000E+000  0.0000E+000
   83   4.318471 4411.9  1.3767600E+05  3.5891  1.95010560E-001 0.00000000E+000   0.000E+000  0.0000E+000
   84   4.303680 4410.7  1.3838900E+05  3.5848  1.95010560E-001 0.00000000E+000   0.000E+000  0.0000E+000
   85   4.289039 4409.6  1.3909100E+05  3.5805  1.95010560E-001 0.00000000E+000   0.000E+000  0.0000E+000
   86   4.274644 4408.4  1.3978200E+05  3.5762  1.95010560E-001 0.00000000E+000   0.000E+000  0.0000E+000
   87   4.260298 4407.3  1.4046300E+05  3.5719  1.95098890E-001 0.00000000E+000   0.000E+000  0.0000E+000
   88   4.246196 4406.1  1.4113400E+05  3.5676  1.95098890E-001 0.00000000E+000   0.000E+000  0.0000E+000
